Name,Extraction,Mouse,Replicate,Location
JN01,2021-07-23,1,0,Luminal
JN02,2021-07-23,1,0,Mucus
JN03,2021-07-23,1,0,Tissue
JN04,2021-07-23,2,0,Luminal
JN05,2021-07-23,2,0,Mucus
JN06,2021-07-23,2,0,Tissue
JN07,2021-07-23,3,0,Luminal
JN08,2021-07-23,3,0,Mucus
JN09,2021-07-23,3,0,Tissue
JN10,2021-07-23,3,1,Mucus
JN11,2021-07-23,3,1,Tissue
JN12,2021-07-30,4,0,Mucus
JN13,2021-07-30,4,0,Tissue
JN14,2021-07-30,5,0,Mucus
JN15,2021-07-30,5,0,Tissue
JN16,2021-07-30,6,0,Mucus
JN17,2021-07-30,6,0,Tissue
JN18,2021-07-30,7,0,Extraction_ctl
mock-,NA,7,0,Mock
mock-2,NA,8,0,Mock
NTC,NA,7,0,Water
NTC-,NA,8,0,Water
