Name,Extraction,Mouse,Replicate,Location
JenUn01,2021-07-23,1,0,Luminal
JenUn02,2021-07-23,1,0,Mucus
JenUn03,2021-07-23,1,0,Tissue
JenUn04,2021-07-23,2,0,Luminal
JenUn05,2021-07-23,2,0,Mucus
JenUn06,2021-07-23,2,0,Tissue
JenUn07,2021-07-23,3,0,Luminal
JenUn08,2021-07-23,3,0,Mucus
JenUn09,2021-07-23,3,0,Tissue
JenUn10,2021-07-23,3,1,Mucus
JenUn11,2021-07-23,3,1,Tissue
JenUn12,2021-07-30,4,0,Mucus
JenUn13,2021-07-30,4,0,Tissue
JenUn14,2021-07-30,5,0,Mucus
JenUn15,2021-07-30,5,0,Tissue
JenUn16,2021-07-30,6,0,Mucus
JenUn17,2021-07-30,6,0,Tissue
JenUn18,2021-07-30,7,0,Extraction_ctl
mock1,NA,8,0,Mock
mock2,NA,8,0,Mock
NTC,NA,7,0,Water
