"","input","filtered","denoisedF","denoisedR","merged","nonchim"
"JN01",20956,19940,19829,19826,19515,19440
"JN02",1077,1051,1000,1002,911,911
"JN03",515,472,389,426,341,341
"JN04",10170,9515,9403,9421,9020,8997
"JN05",5168,5017,4928,4958,4747,4747
"JN06",6761,6590,6512,6499,6286,6267
"JN07",28843,27540,27363,27353,26763,26536
"JN08",2036,1952,1867,1899,1727,1727
"JN09",1162,1110,1066,1073,1009,1009
"JN10",814,766,698,723,659,659
"JN11",505,483,407,452,361,361
"JN12",527,504,420,451,356,356
"JN13",285,265,221,221,173,173
"JN14",3614,3532,3438,3448,3301,3301
"JN15",2639,2566,2479,2524,2348,2348
"JN16",176,166,123,134,111,111
"JN17",704,661,633,644,597,597
"JN18",471,163,134,135,134,134
"mock-",61947,61234,60919,60744,60218,59258
"mock-2",109353,108078,107939,107988,107607,105704
"NTC",63,35,21,20,18,18
"NTC-2",271,64,38,40,38,38
