"","input","filtered","denoisedF","denoisedR","merged","nonchim"
"JenUn01",62175,53051,52797,52657,51069,49509
"JenUn02",445,335,295,302,235,235
"JenUn03",3664,3256,3182,3194,2977,2949
"JenUn04",53505,44780,44510,44325,41643,39735
"JenUn05",9271,8674,8543,8530,7657,7550
"JenUn06",7165,6773,6675,6678,6173,6132
"JenUn07",60788,51337,51077,50976,48515,46604
"JenUn08",2350,2094,2005,2039,1849,1849
"JenUn09",5653,5106,5022,5043,4706,4706
"JenUn10",2273,1917,1877,1882,1768,1768
"JenUn11",548,439,400,406,352,352
"JenUn12",2700,2484,2435,2436,2274,2253
"JenUn13",190,135,98,106,72,72
"JenUn14",3859,3705,3660,3680,3512,3512
"JenUn15",3321,3145,3090,3107,2927,2927
"JenUn16",59,21,5,8,5,5
"JenUn17",1262,963,911,912,804,804
"JenUn18",6932,1292,958,1094,621,621
"mock1",98552,89053,88838,88843,87196,77505
"mock2",108578,98464,98021,98312,96478,85798
"NTC",138,59,26,31,24,24
