"","input","filtered","denoisedF","denoisedR","merged","nonchim"
"JenUn01",62175,52287,52046,51879,44174,43154
"JenUn02",445,327,290,277,232,232
"JenUn03",3664,3225,3165,3131,2823,2823
"JenUn04",53505,44043,43696,43463,35836,34647
"JenUn05",9271,8615,8502,8370,7971,7932
"JenUn06",7165,6728,6620,6549,6406,6402
"JenUn07",60788,49588,49369,49152,40207,38717
"JenUn08",2350,2067,1988,1932,1851,1851
"JenUn09",5653,5044,4979,4986,4606,4606
"JenUn10",2273,1889,1856,1846,1536,1536
"JenUn11",548,428,393,338,320,320
"JenUn12",2700,2454,2389,2393,2287,2282
"JenUn13",190,129,98,107,82,82
"JenUn14",3859,3686,3632,3636,3532,3532
"JenUn15",3321,3096,3038,3042,2942,2942
"JenUn16",59,17,5,8,5,5
"JenUn17",1262,908,856,641,580,580
"JenUn18",6932,1027,779,691,482,482
"mock1",98552,88392,88158,88159,85850,77365
"mock2",108578,98381,98180,98207,96140,86720
"NTC",138,51,24,31,24,24
