"","input","filtered","denoisedF","denoisedR","merged","nonchim"
"Jen01",190010,137746,136930,137406,135349,127479
"Jen02",286951,203823,202453,203213,198112,189766
"Jen03",299630,217330,215298,216531,210409,194894
"Jen04",202181,147933,146682,147549,143869,135880
"Jen05",312366,223614,221419,222825,213949,191218
"Jen06",311249,219964,217307,219034,208627,182353
"Jen07",195599,141939,140935,141497,138669,130239
"Jen08",271202,192708,190806,192122,185832,171018
"Jen09",272489,189613,187872,189037,183403,169107
"Jen10",275990,194320,192862,193793,190075,181072
"Jen11",337411,240087,238749,239562,235947,226236
"Jen12",341856,243790,242446,243323,236256,216643
"Jen13",293419,207988,206555,207496,203024,192346
"Jen14",337389,236265,234738,235582,227738,200847
"Jen15",271022,170223,168705,169670,162870,141046
"Jen16",358729,145613,144710,145108,142381,139481
"Jen17",59011,38876,38208,38653,37049,33585
"Jen18",20206,13881,13848,13825,13804,13804
"mock2",184940,108091,107801,107983,107113,96518
"NTC2",74381,48218,48153,48193,48147,48140
