"","input","filtered","denoisedF","denoisedR","merged","nonchim"
"Jen01",190010,147700,145871,146185,39688,18946
"Jen02",286951,221598,217845,218523,190111,64623
"Jen03",299630,234525,230527,230981,138234,52266
"Jen04",202181,158228,156087,156141,73224,32620
"Jen05",312366,240911,235982,237282,198565,63194
"Jen06",311249,237419,232042,233390,189052,59803
"Jen07",195599,153274,151310,151599,52722,25655
"Jen08",271202,208423,204970,205684,163840,63269
"Jen09",272489,207761,204351,205193,164392,67542
"Jen10",275990,213501,209794,210610,108252,48778
"Jen11",337411,262572,259431,260198,153115,63160
"Jen12",341856,265643,262783,263171,215491,84562
"Jen13",293419,226799,223103,224546,175355,65644
"Jen14",337389,258259,255421,256092,232634,85503
"Jen15",271022,198667,195897,196403,177393,65164
"Jen16",358729,269160,265510,266051,175488,75032
"Jen17",59011,44312,43359,43447,36255,16446
"Jen18",20206,15525,15414,15472,3950,1580
"mock2",184940,133146,132544,132849,4,4
"NTC2",74381,52952,52849,52906,24710,11697
